ID,Sex,stage,cell_count,cell_perc,chromo_number
30,Female,nymph,0,0,4
30,Female,nymph,0,0,5
30,Female,nymph,2,2.8,6
30,Female,nymph,2,2.8,7
30,Female,nymph,9,12.7,8
30,Female,nymph,5,7,9
30,Female,nymph,6,8.5,10
30,Female,nymph,7,9.9,11
30,Female,nymph,6,8.5,12
30,Female,nymph,13,18.3,13
30,Female,nymph,11,15.5,14
30,Female,nymph,3,4.2,15
30,Female,nymph,2,2.8,16
30,Female,nymph,0,0,17
30,Female,nymph,1,1.4,18
30,Female,nymph,1,1.4,19
30,Female,nymph,1,1.4,20
30,Female,nymph,1,1.4,21
30,Female,nymph,1,1.4,22
30,Female,nymph,0,0,23
30,Female,nymph,0,0,24
31,Male,nymph,0,0,4
31,Male,nymph,0,0,5
31,Male,nymph,3,7.9,6
31,Male,nymph,2,5.263157895,7
31,Male,nymph,7,18.42105263,8
31,Male,nymph,4,10.52631579,9
31,Male,nymph,1,2.631578947,10
31,Male,nymph,1,2.631578947,11
31,Male,nymph,4,10.52631579,12
31,Male,nymph,0,0,13
31,Male,nymph,3,7.894736842,14
31,Male,nymph,6,15.78947368,15
31,Male,nymph,2,5.263157895,16
31,Male,nymph,1,2.631578947,17
31,Male,nymph,4,10.52631579,18
31,Male,nymph,0,0,19
31,Male,nymph,0,0,20
31,Male,nymph,0,0,21
31,Male,nymph,0,0,22
31,Male,nymph,0,0,23
31,Male,nymph,0,0,24
41,Male,nymph,2,2.816901408,4
41,Male,nymph,1,1.408450704,5
41,Male,nymph,5,7.042253521,6
41,Male,nymph,9,12.67605634,7
41,Male,nymph,10,14.08450704,8
41,Male,nymph,8,11.26760563,9
41,Male,nymph,8,11.26760563,10
41,Male,nymph,7,9.85915493,11
41,Male,nymph,6,8.450704225,12
41,Male,nymph,3,4.225352113,13
41,Male,nymph,0,0,14
41,Male,nymph,6,8.450704225,15
41,Male,nymph,0,0,16
41,Male,nymph,0,0,17
41,Male,nymph,0,0,18
41,Male,nymph,2,2.816901408,19
41,Male,nymph,0,0,20
41,Male,nymph,1,1.408450704,21
41,Male,nymph,0,0,22
41,Male,nymph,1,1.408450704,23
41,Male,nymph,2,2.816901408,24
42,Male,nymph,0,0,4
42,Male,nymph,0,0,5
42,Male,nymph,2,6.25,6
42,Male,nymph,6,18.75,7
42,Male,nymph,5,15.625,8
42,Male,nymph,1,3.125,9
42,Male,nymph,1,3.125,10
42,Male,nymph,4,12.5,11
42,Male,nymph,1,3.125,12
42,Male,nymph,4,12.5,13
42,Male,nymph,3,9.375,14
42,Male,nymph,1,3.125,15
42,Male,nymph,2,6.25,16
42,Male,nymph,1,3.125,17
42,Male,nymph,0,0,18
42,Male,nymph,0,0,19
42,Male,nymph,1,3.125,20
42,Male,nymph,0,0,21
42,Male,nymph,0,0,22
42,Male,nymph,0,0,23
