ID,sex,stage,cell_count,cell_perc,chromo_number
30,female,nymph,0,0.0,4
30,female,nymph,0,0.0,5
30,female,nymph,2,2.8,6
30,female,nymph,2,2.8,7
30,female,nymph,9,12.7,8
30,female,nymph,5,7.0,9
30,female,nymph,6,8.5,10
30,female,nymph,7,9.9,11
30,female,nymph,6,8.5,12
30,female,nymph,13,18.3,13
30,female,nymph,11,15.5,14
30,female,nymph,3,4.2,15
30,female,nymph,2,2.8,16
30,female,nymph,0,0.0,17
30,female,nymph,1,1.4,18
30,female,nymph,1,1.4,19
30,female,nymph,1,1.4,20
30,female,nymph,1,1.4,21
30,female,nymph,1,1.4,22
30,female,nymph,0,0.0,23
30,female,nymph,0,0.0,24
31,male,nymph,0,0,4
31,male,nymph,0,0,5
31,male,nymph,3,7.9,6
31,male,nymph,2,5.263157895,7
31,male,nymph,7,18.42105263,8
31,male,nymph,4,10.52631579,9
31,male,nymph,1,2.631578947,10
31,male,nymph,1,2.631578947,11
31,male,nymph,4,10.52631579,12
31,male,nymph,0,0,13
31,male,nymph,3,7.894736842,14
31,male,nymph,6,15.78947368,15
31,male,nymph,2,5.263157895,16
31,male,nymph,1,2.631578947,17
31,male,nymph,4,10.52631579,18
31,male,nymph,0,0,19
31,male,nymph,0,0,20
31,male,nymph,0,0,21
31,male,nymph,0,0,22
31,male,nymph,0,0,23
31,male,nymph,0,0,24
41,male,nymph,2,2.816901408,4
41,male,nymph,1,1.408450704,5
41,male,nymph,5,7.042253521,6
41,male,nymph,9,12.67605634,7
41,male,nymph,10,14.08450704,8
41,male,nymph,8,11.26760563,9
41,male,nymph,8,11.26760563,10
41,male,nymph,7,9.85915493,11
41,male,nymph,6,8.450704225,12
41,male,nymph,3,4.225352113,13
41,male,nymph,0,0,14
41,male,nymph,6,8.450704225,15
41,male,nymph,0,0,16
41,male,nymph,0,0,17
41,male,nymph,0,0,18
41,male,nymph,2,2.816901408,19
41,male,nymph,0,0,20
41,male,nymph,1,1.408450704,21
41,male,nymph,0,0,22
41,male,nymph,1,1.408450704,23
41,male,nymph,2,2.816901408,24
42,male,nymph,0,0,4
42,male,nymph,0,0,5
42,male,nymph,2,6.25,6
42,male,nymph,6,18.75,7
42,male,nymph,5,15.625,8
42,male,nymph,1,3.125,9
42,male,nymph,1,3.125,10
42,male,nymph,4,12.5,11
42,male,nymph,1,3.125,12
42,male,nymph,4,12.5,13
42,male,nymph,3,9.375,14
42,male,nymph,1,3.125,15
42,male,nymph,2,6.25,16
42,male,nymph,1,3.125,17
42,male,nymph,0,0,18
42,male,nymph,0,0,19
42,male,nymph,1,3.125,20
42,male,nymph,0,0,21
42,male,nymph,0,0,22
42,male,nymph,0,0,23
42,male,nymph,0,0,24
89,male,nymph,0,0,4
89,male,nymph,0,0,5
89,male,nymph,0,0,6
89,male,nymph,0,0,7
89,male,nymph,3,42.85714286,8
89,male,nymph,3,42.85714286,9
89,male,nymph,0,0,10
89,male,nymph,1,14.28571429,11
89,male,nymph,0,0,12
89,male,nymph,0,0,13
89,male,nymph,0,0,14
89,male,nymph,0,0,15
89,male,nymph,0,0,16
89,male,nymph,0,0,17
89,male,nymph,0,0,18
89,male,nymph,0,0,19
89,male,nymph,0,0,20
89,male,nymph,0,0,21
89,male,nymph,0,0,22
89,male,nymph,0,0,23
89,male,nymph,0,0,24
90,female,nymph,0,0,4
90,female,nymph,0,0,5
90,female,nymph,1,8.333333333,6
90,female,nymph,0,0,7
90,female,nymph,0,0,8
90,female,nymph,0,0,9
90,female,nymph,0,0,10
90,female,nymph,0,0,11
90,female,nymph,0,0,12
90,female,nymph,1,8.333333333,13
90,female,nymph,4,33.33333333,14
90,female,nymph,3,25,15
90,female,nymph,2,16.66666667,16
90,female,nymph,1,8.333333333,17
90,female,nymph,0,0,18
90,female,nymph,0,0,19
90,female,nymph,0,0,20
90,female,nymph,0,0,21
90,female,nymph,0,0,22
90,female,nymph,0,0,23
90,female,nymph,0,0,24
93,female,nymph,0,0,4
93,female,nymph,0,0,5
93,female,nymph,0,0,6
93,female,nymph,0,0,7
93,female,nymph,0,0,8
93,female,nymph,0,0,9
93,female,nymph,0,0,10
93,female,nymph,0,0,11
93,female,nymph,0,0,12
93,female,nymph,3,30,13
93,female,nymph,2,20,14
93,female,nymph,2,20,15
93,female,nymph,0,0,16
93,female,nymph,0,0,17
93,female,nymph,0,0,18
93,female,nymph,0,0,19
93,female,nymph,2,20,20
93,female,nymph,1,10,21
93,female,nymph,0,0,22
93,female,nymph,0,0,23
93,female,nymph,0,0,24
95,male,nymph,0,0,4
95,male,nymph,0,0,5
95,male,nymph,0,0,6
95,male,nymph,1,5.882352941,7
95,male,nymph,5,29.41176471,8
95,male,nymph,10,58.82352941,9
95,male,nymph,1,5.882352941,10
95,male,nymph,0,0,11
95,male,nymph,0,0,12
95,male,nymph,0,0,13
95,male,nymph,0,0,14
95,male,nymph,0,0,15
95,male,nymph,0,0,16
95,male,nymph,0,0,17
95,male,nymph,0,0,18
95,male,nymph,0,0,19
95,male,nymph,0,0,20
95,male,nymph,0,0,21
95,male,nymph,0,0,22
95,male,nymph,0,0,23
95,male,nymph,0,0,24
